pipe_id,pipe_age_yrs,diameter_mm,material,soil_type,burial_depth_m,num_prior_repairs,avg_pressure_bar,pressure_variance,avg_flow_lps,flow_variance,pressure_drop_pct,soil_temp_c,elevation_m,zone,failure
P05536,53,50,steel,sandy,1.2,1,17.776815080878805,1.057,42.36,3.552,6.1,19.9,274.5,Zone_A,0
P05537,11,200,cast_iron,loam,2.72,0,4.98,0.252,89.41,2.032,7.69,21.4,160.3,Zone_D,0
P05538,5,100,cast_iron,rocky,2.57,1,5.25,0.116,24.56,1.287,10.0,15.3,207.5,Zone_D,0
P05539,27,150,steel,loam,0.85,1,7.03,0.085,76.46,0.216,1.55,16.9,315.2,Zone_E,0
P05540,12,150,cast_iron,clay,2.21,4,2.73,0.598,13.62,0.076,4.22,13.9,172.3,Zone_B,0
P05541,17,100,concrete,rocky,1.61,2,5.61,0.038,13.9,1.63,0.67,18.8,436.0,Zone_C,0
P05542,6,300,PVC,clay,1.19,0,4.85,0.039,84.89,0.446,2.22,13.2,403.5,Zone_E,0
P05543,33,50,ductile_iron,loam,3.04,1,4.5,1.626,119.15,1.171,7.43,19.1,79.6,Zone_A,0
P05544,5,300,cast_iron,clay,0.66,1,4.45,0.55,46.81,5.853,3.52,16.0,425.7,Zone_D,0
P05545,57,300,PVC,clay,1.9,1,5.8,0.105,75.81,0.287,7.19,16.0,98.5,Zone_A,0
P05546,28,100,PVC,rocky,1.93,1,7.39,0.5,76.21,2.452,11.84,22.3,66.8,Zone_A,0
P05547,14,200,PVC,loam,2.21,2,5.9,0.432,25.2,0.477,5.68,23.3,488.7,Zone_A,0
P05548,5,100,ductile_iron,sandy,1.09,2,3.59,0.755,113.15,0.551,10.85,12.5,279.5,Zone_E,0
P05549,54,200,cast_iron,loam,3.11,4,2.83,0.276,65.69,2.036,11.5,21.5,435.7,Zone_E,1
P05550,56,150,ductile_iron,sandy,3.4,1,7.87,0.008,49.94,0.281,8.07,20.1,130.9,Zone_C,0
P05551,59,100,ductile_iron,clay,2.15,2,,0.29,20.5,0.981,4.11,15.1,472.9,Zone_D,0
P05552,33,150,cast_iron,loam,1.27,0,4.8,0.588,69.67,0.957,11.96,12.9,451.0,Zone_D,0
P05553,50,200,cast_iron,loam,3.13,3,2.1,1.577,108.79,1.215,5.68,22.7,273.5,Zone_C,1
P05554,48,300,ductile_iron,rocky,3.46,3,6.87,0.917,63.69,0.767,8.85,12.2,422.7,Zone_B,0
P05555,41,100,PVC,sandy,2.73,2,6.76,0.012,19.18,0.639,7.39,20.5,198.2,Zone_B,0
P05556,19,150,PVC,loam,1.5,0,6.17,0.14,36.92,3.046,9.39,23.8,305.0,Zone_D,0
P05557,22,100,cast_iron,sandy,1.21,1,4.14,0.399,118.58,0.166,12.78,19.4,336.0,Zone_E,0
P05558,5,200,PVC,sandy,0.97,1,4.24,0.028,51.15,3.792,5.32,17.0,424.9,Zone_E,0
P05559,59,50,PVC,sandy,1.2,2,4.98,0.453,118.29,3.645,13.74,17.4,329.4,Zone_E,0
P05560,2,200,PVC,rocky,1.18,0,4.41,0.28,67.76,5.395,1.63,21.2,489.6,Zone_B,0
P05561,30,100,PVC,clay,3.4,0,3.01,0.552,86.67,0.548,3.91,24.0,16.0,Zone_D,0
P05562,47,150,ductile_iron,clay,2.43,1,14.118697294631637,0.125,30.36,4.963,13.79,21.7,419.0,Zone_C,0
P05563,39,200,cast_iron,loam,1.0,2,3.98,0.104,118.54,1.197,0.96,16.2,156.4,Zone_B,0
P05564,4,200,ductile_iron,clay,1.96,1,2.12,1.234,5.99,2.302,6.94,23.1,65.0,Zone_B,0
P05565,33,200,ductile_iron,rocky,1.05,1,4.05,0.21,103.51,3.818,3.9,21.8,115.3,Zone_A,0
P05566,13,150,PVC,clay,2.32,3,6.93,,,0.129,11.83,19.6,400.2,Zone_D,0
P05567,20,300,steel,loam,1.52,0,4.82,0.087,80.81,0.071,1.31,22.5,205.7,Zone_A,0
P05568,54,150,ductile_iron,sandy,1.09,1,3.11,0.7,,0.451,1.9,26.1,335.1,Zone_A,0
P05569,7,300,PVC,clay,1.23,1,6.17,0.113,26.4,1.645,,13.1,332.4,Zone_E,0
P05570,15,150,steel,rocky,2.53,1,2.13,0.629,76.74,3.011,4.73,25.3,180.2,Zone_B,0
P05571,23,150,cast_iron,loam,1.72,1,2.93,0.152,110.25,2.987,12.86,16.2,270.3,Zone_B,0
P05572,14,100,concrete,clay,2.04,1,5.49,,33.81,4.471,13.13,18.9,258.7,Zone_B,0
P05573,23,150,cast_iron,clay,2.96,2,6.03,0.513,97.73,1.625,3.02,11.1,222.6,Zone_A,0
P05574,19,100,concrete,sandy,2.47,2,3.77,,15.18,1.643,7.79,29.0,131.2,Zone_E,0
P05575,54,300,cast_iron,sandy,1.89,2,3.67,0.142,32.95,0.163,9.98,16.7,235.9,Zone_D,0
P05576,29,200,ductile_iron,sandy,3.36,2,2.12,0.974,11.35,2.899,6.19,14.5,46.5,Zone_E,0
P05577,56,400,PVC,sandy,1.14,2,3.71,0.187,48.95,1.31,14.24,15.9,358.0,Zone_A,0
P05578,20,50,concrete,sandy,1.37,2,7.76,1.56,85.07,0.468,8.22,,251.3,Zone_B,0
P05579,29,100,ductile_iron,sandy,3.23,0,4.38,0.077,62.01,0.267,6.53,18.2,401.1,Zone_A,0
P05580,24,300,steel,sandy,3.06,0,3.97,0.639,,4.4,,21.6,117.7,Zone_E,0
P05581,18,150,PVC,clay,0.89,2,5.76,0.089,71.12,1.718,12.32,13.2,206.0,Zone_D,0
P05582,10,150,cast_iron,loam,3.29,4,7.93,0.721,30.68,1.926,3.9,11.7,460.2,Zone_B,0
P05583,41,300,PVC,loam,0.53,1,4.63,0.12,43.35,0.551,13.82,15.2,266.7,Zone_C,0
P05584,57,150,PVC,clay,2.97,2,2.57,,57.31,1.598,4.77,15.5,457.2,Zone_C,0
P05585,8,100,ductile_iron,clay,1.34,3,6.3,0.489,70.98,0.346,9.51,22.0,204.7,Zone_E,0
P05586,26,300,steel,clay,1.07,0,7.38,1.065,102.41,1.086,,14.2,465.2,Zone_D,0
P05587,29,50,concrete,loam,1.85,2,6.08,0.494,58.11,0.565,13.54,19.3,251.7,Zone_D,0
P05588,10,300,PVC,loam,3.19,1,,0.821,93.43,0.364,9.4,15.7,106.1,Zone_B,0
P05589,17,50,concrete,sandy,2.86,2,3.48,1.02,18.55,3.214,14.1,18.0,259.9,Zone_D,0
P05590,2,200,cast_iron,rocky,3.4,1,4.68,0.316,19.92,2.168,10.69,8.1,337.3,Zone_D,0
P05591,6,50,cast_iron,sandy,2.12,0,4.53,0.56,38.14,3.215,11.89,20.3,355.1,Zone_C,0
P05592,58,200,steel,loam,2.03,0,7.78,0.013,41.59,3.615,11.68,15.3,262.1,Zone_E,0
P05593,5,50,steel,clay,0.54,1,2.22,0.343,77.02,0.988,9.03,19.4,257.2,Zone_C,0
P05594,28,200,cast_iron,clay,1.04,1,4.19,0.119,30.22,2.823,13.37,21.0,125.9,Zone_C,0
P05595,41,150,ductile_iron,clay,1.99,1,3.87,0.061,21.25,2.648,5.04,17.0,47.7,Zone_A,0
P05596,5,50,steel,loam,2.76,3,7.89,2.823,79.28,0.566,3.18,16.4,38.1,Zone_E,0
P05597,18,200,cast_iron,sandy,2.97,1,2.04,2.916,119.69,2.337,2.52,10.9,197.3,Zone_C,0
P05598,26,150,ductile_iron,loam,1.35,1,3.75,0.12,119.09,5.266,7.91,25.9,146.8,Zone_D,0
P05599,20,100,PVC,loam,2.64,1,7.84,1.139,111.03,2.316,13.86,23.2,448.6,Zone_D,0
P05600,41,50,concrete,clay,2.99,1,2.96,1.137,12.14,0.793,8.64,28.0,29.2,Zone_A,0
P05601,49,150,steel,loam,1.62,0,6.74,1.874,92.89,2.421,13.15,21.9,411.5,Zone_C,1
P05602,27,50,steel,clay,2.59,1,5.38,0.249,49.18,1.741,2.15,15.8,260.5,Zone_C,0
P05603,49,50,ductile_iron,sandy,1.81,1,7.44,1.344,99.55,3.277,10.82,16.2,399.0,Zone_B,0
P05604,12,100,PVC,loam,3.46,1,7.24,0.761,10.56,0.634,14.75,14.5,84.5,Zone_E,0
P05605,7,150,cast_iron,loam,0.52,3,5.46,0.664,101.25,0.354,8.18,12.3,450.9,Zone_E,0
P05606,59,150,concrete,clay,1.74,4,5.33,0.142,76.28,1.133,11.94,17.1,181.2,Zone_D,1
P05607,3,50,PVC,clay,1.29,2,2.91,0.337,14.22,1.969,7.89,18.9,489.2,Zone_A,0
P05608,10,400,PVC,sandy,3.05,0,2.36,0.776,115.22,0.204,13.01,9.7,384.8,Zone_E,0
P05609,34,300,steel,clay,1.36,1,6.39,0.938,105.34,0.611,8.85,16.4,425.5,Zone_B,0
P05610,25,100,cast_iron,rocky,2.13,0,5.68,0.11,84.24,0.366,2.96,13.1,26.6,Zone_A,0
P05611,35,100,concrete,sandy,2.72,2,6.77,0.186,47.46,2.942,3.49,17.7,14.0,Zone_B,0
P05612,16,300,ductile_iron,rocky,1.99,1,2.11,0.089,63.61,2.438,5.35,23.2,101.7,Zone_D,0
P05613,2,150,ductile_iron,rocky,1.73,4,7.6,0.082,8.14,1.964,14.54,10.3,353.0,Zone_A,0
P05614,24,100,cast_iron,sandy,0.63,2,2.44,0.12,82.26,1.244,9.39,20.6,309.3,Zone_A,0
P05615,10,150,steel,clay,0.57,3,,1.2,114.87,1.186,7.26,20.0,398.4,Zone_C,0
P05616,38,200,steel,loam,3.37,0,3.15,0.225,,1.457,5.51,24.6,401.7,Zone_C,0
P05617,22,100,cast_iron,clay,2.43,2,3.56,0.344,51.87,3.413,13.19,27.1,414.8,Zone_A,0
P05618,26,200,cast_iron,sandy,2.98,3,13.10776120261638,0.006,104.12,1.814,4.54,28.4,497.2,Zone_B,0
P05619,43,200,concrete,clay,1.94,2,,0.699,12.61,2.744,7.08,19.9,325.6,Zone_B,0
P05620,55,150,cast_iron,sandy,1.28,2,6.17,0.17,,0.605,2.04,21.1,257.7,Zone_B,0
P05621,39,300,PVC,clay,1.38,1,7.4,0.609,113.27,1.299,5.7,19.6,194.7,Zone_A,0
P05622,27,100,PVC,clay,0.63,6,3.75,0.111,93.43,1.991,13.16,16.4,483.7,Zone_C,0
P05623,29,150,steel,loam,2.87,0,2.81,0.237,14.31,0.757,1.09,18.6,328.6,Zone_E,0
P05624,47,150,PVC,rocky,2.24,1,5.24,0.365,58.41,1.466,0.61,24.4,357.7,Zone_C,0
P05625,38,150,ductile_iron,clay,1.94,0,4.33,0.499,63.94,3.666,6.5,35.3,369.2,Zone_D,0
P05626,20,100,concrete,sandy,3.06,0,6.79,0.09,90.15,0.161,10.02,14.7,148.7,Zone_C,0
P05627,27,150,cast_iron,sandy,1.83,2,2.03,,29.65,3.311,0.55,18.9,363.6,Zone_B,0
P05628,41,100,ductile_iron,clay,3.34,4,5.48,0.006,32.09,1.848,7.1,15.2,123.0,Zone_D,0
P05629,54,100,cast_iron,loam,0.54,2,5.1,0.071,103.06,1.06,0.59,19.6,265.5,Zone_C,0
P05630,20,100,concrete,loam,3.45,1,7.1,0.199,30.81,1.648,9.98,14.2,76.8,Zone_E,0
P05631,44,200,PVC,clay,2.95,2,5.46,1.381,56.47,1.863,10.61,19.0,268.3,Zone_A,1
P05632,19,50,cast_iron,loam,1.56,3,7.97,1.074,84.94,3.035,13.5,20.5,449.5,Zone_B,0
P05633,20,200,PVC,loam,2.29,0,2.16,0.371,65.36,3.24,14.16,30.0,191.4,Zone_A,0
P05634,35,100,ductile_iron,clay,3.09,2,5.02,0.464,110.27,2.694,11.83,16.3,229.5,Zone_D,0
P05635,47,50,concrete,loam,1.94,0,7.86,0.17,63.78,0.035,7.76,19.9,311.8,Zone_D,0
P05636,2,100,ductile_iron,sandy,0.65,1,7.67,0.554,28.87,1.629,3.17,30.4,499.5,Zone_A,0
P05637,30,100,PVC,loam,3.21,2,3.31,0.135,100.64,1.129,10.32,11.0,462.0,Zone_D,0
P05638,53,150,PVC,sandy,2.05,1,6.96,0.001,94.56,1.717,14.66,15.6,210.9,Zone_C,0
P05639,34,150,cast_iron,clay,2.14,5,6.83,1.652,28.26,1.86,13.03,14.5,491.9,Zone_A,1
P05640,22,400,steel,loam,0.54,0,7.77,0.24,93.68,1.915,8.85,19.0,375.7,Zone_D,0
P05641,3,400,cast_iron,loam,0.8,2,5.06,0.37,42.06,0.862,13.72,10.8,62.2,Zone_C,0
P05642,6,150,PVC,loam,2.83,0,,0.053,70.01,1.185,5.58,15.8,492.5,Zone_C,0
P05643,15,200,steel,clay,1.8,5,6.72,0.375,116.65,0.032,8.6,20.5,354.2,Zone_B,0
P05644,27,50,PVC,loam,3.49,4,7.99,1.163,10.09,5.48,7.43,19.7,323.6,Zone_B,0
P05645,10,150,cast_iron,sandy,2.59,5,3.85,1.05,24.63,8.843,7.75,11.7,483.8,Zone_D,0
P05646,9,200,concrete,loam,3.35,0,6.1,0.431,74.7,1.025,14.61,23.8,259.2,Zone_A,0
P05647,33,100,cast_iron,loam,1.34,1,6.03,0.972,10.76,1.088,3.61,23.4,102.3,Zone_E,0
P05648,32,50,PVC,sandy,1.03,0,7.14,0.226,17.65,1.231,0.66,18.4,149.2,Zone_A,0
P05649,48,100,steel,clay,1.63,1,5.9,0.107,75.49,0.695,0.12,15.8,295.7,Zone_E,0
P05650,6,150,concrete,rocky,1.29,3,4.75,0.274,101.77,1.144,3.1,18.2,119.6,Zone_A,0
P05651,41,150,PVC,loam,2.34,2,3.86,0.829,67.76,0.888,8.51,16.6,146.3,Zone_B,0
P05652,59,150,ductile_iron,rocky,2.73,2,7.82,0.614,26.48,0.04,11.72,20.1,459.6,Zone_B,0
P05653,36,150,steel,sandy,1.71,2,4.01,0.243,20.11,0.271,3.69,22.1,209.3,Zone_A,0
P05654,59,150,cast_iron,loam,0.77,3,3.53,0.209,99.37,0.164,2.73,9.8,396.6,Zone_B,0
P05655,2,200,cast_iron,loam,0.58,2,6.76,1.667,108.82,0.546,5.93,14.7,234.1,Zone_D,0
P05656,29,100,concrete,loam,1.15,3,4.99,0.153,91.79,0.21,10.59,7.1,309.3,Zone_B,0
P05657,4,200,PVC,loam,2.7,0,3.1,0.184,30.24,0.523,3.27,11.8,487.2,Zone_A,0
P05658,1,200,cast_iron,clay,1.16,0,4.15,0.213,45.48,0.008,9.56,19.9,18.1,Zone_C,0
P05659,19,200,PVC,sandy,3.23,4,,0.764,54.54,8.98,7.19,13.0,45.1,Zone_A,0
P05660,26,200,cast_iron,sandy,2.45,0,3.25,0.949,19.29,0.231,1.78,13.6,145.6,Zone_D,0
P05661,25,150,cast_iron,sandy,3.09,1,2.45,0.122,34.14,3.666,6.43,24.0,257.4,Zone_D,0
P05662,10,100,cast_iron,sandy,1.66,1,5.87,0.262,88.56,0.215,4.27,23.7,481.7,Zone_B,0
P05663,53,150,steel,sandy,3.45,0,4.23,1.003,94.97,0.746,8.39,17.5,196.0,Zone_D,0
P05664,15,400,steel,sandy,2.54,0,2.36,0.188,25.98,5.679,10.3,19.5,217.7,Zone_B,0
P05665,59,150,PVC,clay,1.57,1,5.91,0.259,42.56,0.744,14.25,9.3,328.7,Zone_D,0
P05666,22,50,cast_iron,loam,1.14,0,,0.403,61.85,2.126,9.9,15.8,491.0,Zone_E,0
P05667,51,50,PVC,clay,3.1,2,2.97,0.513,25.13,0.766,1.51,13.4,140.2,Zone_E,0
P05668,48,400,ductile_iron,sandy,1.45,2,7.76,0.181,104.26,5.726,,15.8,319.1,Zone_A,0
P05669,21,50,PVC,loam,0.63,2,2.45,0.429,,0.021,11.33,20.3,388.6,Zone_B,0
P05670,59,50,steel,clay,1.34,2,4.32,0.644,33.51,0.578,6.84,,108.8,Zone_C,0
P05671,56,150,PVC,loam,1.04,3,5.69,0.047,107.76,1.066,8.99,17.7,111.2,Zone_D,0
P05672,22,400,PVC,sandy,1.46,3,7.96,3.648,82.47,3.48,6.15,23.7,309.9,Zone_E,1
P05673,36,100,concrete,rocky,2.34,0,2.49,1.35,63.93,1.702,2.17,28.4,391.5,Zone_B,0
P05674,34,150,PVC,sandy,2.0,1,7.59,0.083,17.33,4.504,3.57,6.0,190.5,Zone_C,0
P05675,30,150,PVC,clay,2.63,1,7.29,0.202,21.71,4.304,7.7,27.4,429.5,Zone_C,0
P05676,25,50,PVC,sandy,1.5,2,6.68,0.165,30.74,6.216,10.84,21.7,230.0,Zone_A,0
P05677,45,300,cast_iron,clay,0.86,1,2.62,0.011,30.13,0.404,8.11,16.6,246.3,Zone_B,0
P05678,28,150,PVC,loam,0.98,1,3.75,0.349,107.01,1.097,8.35,17.8,182.9,Zone_A,0
P05679,1,150,PVC,loam,2.89,1,3.63,0.086,113.31,1.115,6.27,15.6,123.0,Zone_E,0
P05680,49,300,cast_iron,loam,0.79,1,5.21,0.074,52.94,0.263,3.21,20.9,130.1,Zone_C,0
P05681,45,400,cast_iron,sandy,2.89,0,2.72,0.118,28.07,5.805,5.29,14.8,354.2,Zone_D,0
P05682,4,150,concrete,rocky,1.14,1,6.9,0.713,36.48,0.901,2.66,13.7,217.3,Zone_E,0
P05683,7,100,PVC,sandy,2.54,0,6.09,0.069,7.69,2.039,,23.1,147.2,Zone_B,0
P05684,49,200,cast_iron,clay,2.37,3,7.17,0.495,29.73,1.854,9.86,35.9,258.5,Zone_E,1
P05685,9,150,ductile_iron,clay,0.79,1,3.34,0.172,6.78,0.541,10.68,25.1,26.6,Zone_C,0
P05686,36,300,PVC,loam,2.5,2,5.72,0.035,115.6,1.698,1.64,20.6,260.9,Zone_C,0
P05687,19,300,cast_iron,rocky,1.84,2,7.11,1.907,76.72,0.592,5.51,18.4,301.5,Zone_D,0
P05688,1,100,cast_iron,clay,2.62,4,2.3,0.522,82.52,0.673,10.81,11.1,469.7,Zone_B,0
P05689,10,400,steel,rocky,3.01,3,5.3,0.114,14.47,1.599,12.28,19.9,348.0,Zone_C,0
P05690,36,150,PVC,loam,0.62,2,6.36,0.353,58.02,1.221,14.84,19.3,233.7,Zone_A,0
P05691,9,150,ductile_iron,sandy,2.44,1,4.23,0.246,54.65,1.101,14.17,17.2,281.6,Zone_C,0
P05692,45,50,cast_iron,loam,0.81,2,4.12,0.096,101.21,1.0,1.89,15.4,491.0,Zone_D,0
P05693,46,300,PVC,clay,1.64,4,2.19,1.625,94.63,2.81,11.79,14.3,86.8,Zone_C,1
P05694,42,150,ductile_iron,rocky,0.54,1,4.94,0.981,52.77,0.66,9.93,16.6,334.0,Zone_B,0
P05695,32,150,ductile_iron,loam,1.49,1,5.58,0.23,88.69,0.75,0.35,19.5,369.8,Zone_C,0
P05696,32,300,ductile_iron,sandy,1.01,1,6.44,0.833,14.98,1.732,13.57,14.5,201.7,Zone_E,0
P05697,6,150,cast_iron,rocky,2.17,4,2.52,0.105,34.16,6.666,7.43,16.6,141.8,Zone_A,0
P05698,48,150,ductile_iron,clay,2.04,2,4.5,0.039,24.57,0.688,11.59,15.7,155.5,Zone_D,0
P05699,38,300,concrete,rocky,2.88,2,3.55,0.374,88.43,1.076,,14.3,191.1,Zone_E,0
P05700,17,200,ductile_iron,clay,2.42,0,3.24,0.249,106.55,0.275,4.92,26.9,118.9,Zone_B,0
P05701,10,300,ductile_iron,loam,2.64,3,3.47,0.036,76.15,2.048,7.32,14.3,201.1,Zone_E,0
P05702,50,300,ductile_iron,loam,0.78,1,4.16,0.498,81.48,0.579,12.46,9.6,381.5,Zone_D,0
P05703,27,150,PVC,loam,0.58,3,6.4,0.856,72.96,1.493,3.13,10.4,302.6,Zone_B,0
P05704,54,150,steel,sandy,3.41,2,4.61,0.375,72.91,1.09,8.28,14.2,376.8,Zone_A,0
P05705,50,100,ductile_iron,rocky,1.78,0,2.38,0.028,29.36,2.991,9.39,18.6,476.3,Zone_C,0
P05706,35,200,steel,sandy,1.68,1,4.08,0.237,7.11,3.578,8.79,17.2,130.8,Zone_C,0
P05707,52,150,cast_iron,clay,0.61,0,2.66,0.144,27.11,2.674,5.92,10.6,172.3,Zone_C,0
P05708,59,200,steel,sandy,0.86,0,3.27,0.08,41.69,1.197,2.47,23.3,167.2,Zone_C,0
P05709,21,100,cast_iron,loam,3.32,3,2.78,0.346,51.03,1.072,3.92,19.0,340.9,Zone_C,0
P05710,25,100,cast_iron,sandy,2.58,1,7.83,0.034,87.95,1.063,6.86,,209.5,Zone_A,0
P05711,28,100,cast_iron,sandy,1.73,5,7.28,0.033,6.79,1.393,3.1,21.6,147.3,Zone_C,0
P05712,47,50,cast_iron,rocky,3.21,0,5.75,0.75,71.66,1.93,10.94,11.0,318.8,Zone_B,0
P05713,15,150,PVC,rocky,2.27,1,3.5,0.279,38.86,0.784,4.17,7.4,455.7,Zone_C,0
P05714,4,100,ductile_iron,clay,2.74,2,3.05,0.683,25.71,2.634,2.96,14.1,159.2,Zone_C,0
P05715,29,100,PVC,sandy,1.79,0,7.05,0.198,37.66,4.736,5.34,13.5,356.0,Zone_D,0
P05716,59,50,cast_iron,clay,1.79,0,,0.216,47.17,0.14,,13.6,212.4,Zone_E,0
P05717,9,200,PVC,rocky,0.71,2,6.16,0.28,102.78,0.044,10.58,14.1,445.9,Zone_B,0
P05718,27,200,ductile_iron,rocky,2.7,3,3.77,0.182,33.84,2.251,11.98,17.9,293.4,Zone_A,0
P05719,26,100,PVC,rocky,0.8,4,4.94,0.409,65.69,2.076,6.29,24.1,203.1,Zone_B,0
P05720,19,200,cast_iron,loam,2.79,1,6.37,,,1.226,9.94,15.4,401.1,Zone_A,0
P05721,56,150,cast_iron,sandy,1.07,1,2.22,0.408,111.62,3.523,,18.2,264.0,Zone_D,0
P05722,28,100,ductile_iron,sandy,1.24,2,3.05,,8.81,2.768,5.04,9.9,338.1,Zone_C,0
P05723,17,150,steel,sandy,3.25,0,5.88,2.428,94.27,6.802,2.3,26.8,351.9,Zone_E,0
P05724,43,100,PVC,clay,1.91,1,7.52,0.507,,3.614,3.17,17.6,468.4,Zone_B,0
P05725,57,200,cast_iron,rocky,0.88,4,3.55,0.617,101.53,0.171,,14.8,43.6,Zone_B,1
P05726,41,50,cast_iron,sandy,3.22,2,2.9,0.452,21.97,1.076,9.71,15.4,240.8,Zone_B,0
P05727,42,400,cast_iron,rocky,1.86,3,,1.508,81.97,0.882,2.15,8.5,287.4,Zone_E,0
P05728,50,50,ductile_iron,rocky,0.89,1,7.19,0.83,89.99,3.604,7.94,13.4,457.6,Zone_D,0
P05729,20,150,PVC,rocky,1.67,3,7.46,0.477,64.81,0.537,6.92,21.8,62.8,Zone_D,0
P05730,45,300,cast_iron,loam,2.27,1,2.75,0.202,44.61,0.233,,15.3,126.3,Zone_C,0
P05731,40,50,ductile_iron,clay,1.59,1,7.54,0.196,23.1,0.163,13.12,17.9,468.6,Zone_B,0
P05732,39,150,PVC,sandy,3.27,1,5.49,0.7,17.07,1.651,8.68,11.1,246.2,Zone_D,0
P05733,49,150,ductile_iron,loam,1.31,1,6.0,1.32,91.9,0.73,3.9,22.0,334.3,Zone_D,0
P05734,53,150,cast_iron,clay,1.03,2,4.72,2.121,11.91,0.42,8.96,17.4,281.6,Zone_A,1
P05735,23,100,PVC,clay,1.16,0,4.13,0.152,72.0,4.805,13.94,9.6,450.7,Zone_B,0
P05736,47,50,ductile_iron,loam,0.75,2,2.68,0.448,8.33,0.03,0.3,15.6,54.7,Zone_D,0
P05737,32,150,steel,rocky,1.86,0,3.34,0.605,58.0,1.164,14.28,18.8,35.2,Zone_B,0
P05738,52,150,steel,rocky,3.14,2,5.53,0.266,20.91,1.329,9.84,26.1,234.5,Zone_A,0
P05739,47,150,cast_iron,clay,1.42,0,3.9,0.058,79.83,1.549,8.08,32.3,450.7,Zone_E,0
P05740,33,100,cast_iron,rocky,1.28,2,2.72,0.168,33.18,2.861,5.95,23.3,304.6,Zone_C,0
P05741,57,100,ductile_iron,loam,3.01,1,6.26,0.362,45.3,0.013,1.98,17.9,353.2,Zone_E,0
P05742,46,150,ductile_iron,loam,1.42,2,5.17,0.061,92.42,0.54,0.27,15.6,445.6,Zone_D,0
P05743,5,150,concrete,sandy,1.93,3,2.25,0.188,,3.041,6.52,20.7,81.2,Zone_D,0
P05744,43,150,ductile_iron,loam,0.59,0,6.04,0.149,88.17,0.829,,17.4,316.2,Zone_B,0
P05745,48,100,steel,loam,1.36,1,7.17,0.219,85.09,1.715,14.84,23.9,98.2,Zone_D,0
P05746,34,100,PVC,loam,0.89,1,6.65,0.581,107.37,0.664,7.88,23.3,395.2,Zone_E,0
P05747,40,100,steel,sandy,0.82,2,7.55,0.323,94.76,0.175,10.58,23.3,386.1,Zone_A,0
P05748,11,100,PVC,rocky,1.79,0,4.03,0.236,89.13,0.581,9.48,9.9,48.8,Zone_D,0
P05749,50,100,PVC,rocky,1.33,6,2.53,0.161,12.8,3.478,13.19,17.6,472.4,Zone_E,0
P05750,3,150,PVC,rocky,1.0,1,6.28,0.583,18.29,0.833,7.31,11.4,204.1,Zone_C,0
P05751,58,150,steel,clay,2.03,0,7.41,0.561,67.43,1.592,2.65,22.9,69.1,Zone_C,0
P05752,33,150,ductile_iron,sandy,2.85,4,3.91,0.296,43.15,0.026,3.55,21.3,126.2,Zone_A,0
P05753,11,100,concrete,sandy,2.7,7,3.59,0.163,63.76,1.477,5.38,15.8,454.0,Zone_C,0
P05754,16,100,PVC,loam,1.25,2,6.29,0.828,88.82,2.579,2.85,,249.6,Zone_E,0
P05755,18,150,ductile_iron,rocky,1.29,1,6.37,0.956,42.4,1.744,11.88,9.0,340.8,Zone_A,0
P05756,30,300,concrete,clay,2.7,4,6.98,0.936,104.23,0.046,5.54,11.1,230.6,Zone_E,0
P05757,48,200,steel,rocky,2.17,2,6.48,,54.37,0.043,5.71,5.9,58.8,Zone_D,0
P05758,55,200,steel,loam,2.73,4,4.4,0.147,43.04,4.363,7.51,20.8,328.3,Zone_C,0
P05759,10,200,ductile_iron,clay,0.5,0,4.54,0.936,63.92,0.483,4.31,6.5,499.4,Zone_C,0
P05760,18,150,concrete,sandy,0.76,1,6.83,1.949,63.94,2.297,1.88,16.1,263.6,Zone_D,0
P05761,38,50,PVC,clay,2.91,1,3.6,0.108,103.73,0.064,11.02,13.6,118.5,Zone_D,0
P05762,19,150,PVC,loam,3.05,0,2.65,0.506,26.98,0.727,8.87,14.9,143.8,Zone_E,0
P05763,36,100,concrete,clay,1.53,2,3.31,0.2,,0.786,2.86,10.1,131.1,Zone_E,0
P05764,59,150,cast_iron,loam,3.38,3,5.03,0.333,98.31,3.825,0.93,,472.8,Zone_C,0
P05765,13,200,cast_iron,loam,1.4,4,5.42,0.425,81.83,3.264,8.07,11.8,476.7,Zone_A,0
P05766,56,200,PVC,sandy,3.17,2,2.42,0.387,69.0,3.567,10.0,10.4,150.0,Zone_A,0
P05767,46,100,cast_iron,clay,1.77,4,3.82,0.717,102.72,5.687,3.5,19.9,13.4,Zone_C,1
P05768,3,150,PVC,loam,2.19,3,6.5,,93.93,0.931,5.87,,165.0,Zone_D,0
P05769,10,150,cast_iron,sandy,2.43,0,7.17,0.045,12.25,0.491,13.2,16.2,288.5,Zone_D,0
P05770,38,200,cast_iron,rocky,0.9,1,,0.575,,2.671,7.58,17.7,411.3,Zone_A,0
P05771,1,200,ductile_iron,sandy,0.61,1,5.11,0.37,85.98,0.174,12.88,17.5,214.7,Zone_E,0
P05772,55,400,PVC,clay,1.78,1,2.9,0.253,78.57,7.593,8.2,20.0,247.1,Zone_B,0
P05773,56,50,cast_iron,loam,0.98,3,6.33,0.543,43.86,2.734,9.16,8.9,72.0,Zone_D,1
P05774,27,150,cast_iron,loam,2.15,1,2.94,1.086,55.47,0.671,8.73,16.5,290.7,Zone_E,0
